GJD-2450000 flux err airmass sky dx dy baserun
8062.974115 0.994452 0.003968 1.2964 542.3 -1.412 -1.984 MSCT2_1711050206
8062.974740 0.990462 0.003970 1.2966 539.8 -1.860 -1.196 MSCT2_1711050207
8062.975376 0.992898 0.003937 1.2969 537.3 -1.922 -0.987 MSCT2_1711050208
8062.976001 0.999460 0.003967 1.2972 533.6 -1.920 -1.848 MSCT2_1711050209
8062.976638 1.000254 0.003980 1.2975 528.2 -2.414 -2.894 MSCT2_1711050210
8062.977274 1.000275 0.003951 1.2978 527.1 -1.474 -1.630 MSCT2_1711050211
8062.977911 1.000530 0.003970 1.2982 528.4 -2.107 -1.526 MSCT2_1711050212
8062.978536 0.991708 0.003971 1.2985 532.4 -1.807 -1.376 MSCT2_1711050213
8062.979172 1.000660 0.003989 1.2989 533.1 -2.217 -1.557 MSCT2_1711050214
8062.979797 1.000348 0.003992 1.2993 537.4 -2.434 -2.057 MSCT2_1711050215
8062.980422 0.994271 0.003984 1.2998 539.9 -2.448 -1.833 MSCT2_1711050216
8062.981047 1.002035 0.003972 1.3002 534.8 -1.895 -0.877 MSCT2_1711050217
8062.981684 0.997902 0.003957 1.3007 529.6 -2.018 -0.863 MSCT2_1711050218
8062.982309 1.005773 0.003974 1.3012 527.6 -1.644 -1.321 MSCT2_1711050219
8062.982946 1.001546 0.003935 1.3017 526.7 -1.993 -0.912 MSCT2_1711050220
8062.983571 0.997774 0.003940 1.3023 525.5 -2.209 -1.286 MSCT2_1711050221
8062.984207 1.000187 0.003927 1.3029 521.9 -2.202 -2.136 MSCT2_1711050222
8062.984821 0.998689 0.003908 1.3035 519.9 -1.867 -1.283 MSCT2_1711050223
8062.985446 1.001928 0.003937 1.3041 517.6 -1.745 -0.963 MSCT2_1711050224
8062.986082 1.000000 0.003935 1.3047 518.2 -2.121 -0.688 MSCT2_1711050225
8062.986719 0.998909 0.003932 1.3054 520.4 -2.104 -1.235 MSCT2_1711050226
8062.987355 1.004611 0.003927 1.3061 525.8 -2.146 -1.620 MSCT2_1711050227
8062.987980 0.604277 0.003415 1.3068 520.2 -2.023 -1.300 MSCT2_1711050228
8062.988617 1.001408 0.003905 1.3075 515.0 -2.339 -1.425 MSCT2_1711050229
8062.989242 1.007776 0.003914 1.3083 512.6 -2.155 -1.351 MSCT2_1711050230
8062.989867 1.007976 0.003909 1.3090 510.9 -2.077 -0.956 MSCT2_1711050231
8062.990503 1.007380 0.003907 1.3098 519.3 -2.289 -1.605 MSCT2_1711050232
8062.991128 1.001351 0.003920 1.3106 524.0 -1.640 -1.466 MSCT2_1711050233
8062.991765 0.998573 0.003936 1.3115 530.9 -2.154 -1.466 MSCT2_1711050234
8062.992390 0.998113 0.003942 1.3123 529.4 -2.236 -2.331 MSCT2_1711050235
8062.993027 1.003619 0.003952 1.3133 527.9 -1.955 -0.146 MSCT2_1711050236
8062.993652 1.001818 0.003932 1.3141 525.4 -2.352 -0.699 MSCT2_1711050237
8062.994277 1.008270 0.003960 1.3151 525.1 -1.814 -1.807 MSCT2_1711050238
8062.994913 1.004554 0.003968 1.3160 526.5 -1.988 -0.551 MSCT2_1711050239
8062.995550 1.008175 0.003951 1.3170 525.3 -2.462 -0.618 MSCT2_1711050240
8062.996186 1.001566 0.003916 1.3181 522.3 -2.426 -0.871 MSCT2_1711050241
8062.996800 0.997668 0.003940 1.3191 520.1 -2.247 -1.115 MSCT2_1711050242
8062.997436 1.003757 0.003935 1.3201 520.1 -2.148 -1.453 MSCT2_1711050243
8062.998061 1.000196 0.003939 1.3212 520.7 -2.774 -1.448 MSCT2_1711050244
8062.998698 1.000122 0.003927 1.3224 519.2 -1.966 -1.508 MSCT2_1711050245
8062.999323 1.002231 0.003919 1.3235 516.3 -2.271 -1.628 MSCT2_1711050246
8062.999948 1.002042 0.003918 1.3245 514.2 -2.203 -0.878 MSCT2_1711050247
8063.000573 0.996354 0.003962 1.3258 541.4 -2.718 -1.219 MSCT2_1711050248
8063.001209 1.001741 0.003991 1.3269 558.1 -2.344 -1.435 MSCT2_1711050249
8063.001846 0.998001 0.003972 1.3281 546.5 -2.503 -2.009 MSCT2_1711050250
8063.002471 1.002024 0.003945 1.3294 521.2 -2.418 -1.397 MSCT2_1711050251
8063.003108 1.003193 0.003936 1.3306 515.0 -2.226 -1.157 MSCT2_1711050252
8063.003733 0.996683 0.003902 1.3320 510.9 -2.593 -1.809 MSCT2_1711050253
8063.004369 1.001412 0.003909 1.3333 514.6 -2.285 -0.934 MSCT2_1711050254
8063.004983 1.009006 0.003950 1.3347 520.7 -2.321 -0.630 MSCT2_1711050255
8063.005619 1.002530 0.003946 1.3360 525.7 -2.260 -0.558 MSCT2_1711050256
8063.006256 1.006302 0.003956 1.3375 522.1 -2.323 -2.006 MSCT2_1711050257
8063.006881 1.003222 0.003920 1.3389 518.5 -1.676 -0.891 MSCT2_1711050258
8063.007517 1.003316 0.003912 1.3403 516.6 -2.668 -0.407 MSCT2_1711050259
8063.008142 0.999626 0.003908 1.3418 514.9 -2.960 -1.678 MSCT2_1711050260
8063.008767 1.002708 0.003928 1.3432 514.5 -2.202 -1.687 MSCT2_1711050261
8063.009392 0.998614 0.003909 1.3447 515.4 -2.514 -0.480 MSCT2_1711050262
