,GJD-2450000,flux,err,airmass,sky,dx,dy
281,8063.053465999999,1.002975,0.003993,1.5277,535.3,-3.707,0.258
282,8063.054103,0.9977360000000001,0.003964,1.5318,527.7,-2.753,-1.3969999999999998
283,8063.054728,1.000708,0.003996,1.5356,532.3,-2.68,-1.7630000000000001
284,8063.055365,0.999926,0.004031,1.5399,567.3,-3.3810000000000002,0.287
285,8063.056001000001,1.000756,0.003992,1.5438,556.5,-3.803,0.375
286,8063.056615,1.0009,0.003987,1.5477,540.4,-3.861,-0.45399999999999996
287,8063.057263,1.002925,0.004005,1.5521,545.5,-3.398,0.031
288,8063.057887999999,0.9970129999999999,0.004002,1.5566,543.3,-2.843,-0.48700000000000004
289,8063.058523999999,1.000726,0.003993,1.5607,546.0,-3.966,-0.264
290,8063.059161,1.0053290000000001,0.004011,1.5653,548.6,-3.2030000000000003,0.376
291,8063.059786,1.002259,0.004016,1.5694,553.3,-3.6710000000000003,-0.087
292,8063.060422,0.9995850000000001,0.004031,1.5737,553.9,-3.4019999999999997,-0.14
293,8063.061047,1.00369,0.004018,1.5784,543.7,-3.13,-0.332
294,8063.061672,0.998936,0.004012,1.5828,546.0,-3.228,-0.882
295,8063.0622969999995,0.993353,0.004007,1.5872,548.3,-4.135,0.494
296,8063.0629340000005,1.001508,0.0040149999999999995,1.5921,548.6,-3.654,-0.532
297,8063.063559,1.002104,0.00402,1.5966,552.0,-3.3680000000000003,-0.363
298,8063.064184000001,1.0036040000000002,0.0040219999999999995,1.6016,552.6,-3.097,-1.214
299,8063.064820999999,1.0001799999999998,0.004024,1.6062,551.6,-3.4560000000000004,0.9129999999999999
300,8063.065446,1.0017120000000002,0.004036,1.6113,566.7,-3.54,-0.066
301,8063.066081999999,1.007028,0.004136,1.616,640.2,-3.532,-0.03
302,8063.066706999999,1.0086030000000001,0.004152,1.6208,630.9,-3.616,-1.764
303,8063.067332,1.003123,0.004098,1.6261,608.5,-3.83,-0.161
304,8063.067969,0.999589,0.004091,1.631,604.0,-3.52,0.061
305,8063.068593999999,0.9972799999999999,0.004033,1.6364,566.1,-4.518,-0.17600000000000002
